2015-07-13,78,normal
2015-07-14,77,Rain
2015-07-15,78,Rain
2015-07-16,73,normal
2015-07-17,74,normal
2015-07-18,78,Rain
2015-07-19,82,normal
2015-07-20,87,normal
2015-07-21,83,normal
2015-07-22,81,normal
2015-07-23,79,normal
2015-07-24,78,normal
2015-07-25,77,normal
2015-07-26,79,Rain
2015-07-27,80,normal
2015-07-28,81,normal
2015-07-29,85,normal
2015-07-30,81,Rain
2015-07-31,83,normal
